"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2010"	"2010"	"Wednesday"	"4"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Thursday"	"5"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Friday"	"6"	101	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Saturday"	"7"	89	Not Applicable	Not Applicable
	"Alabama"	"01"	"2010"	"2010"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2011"	"2011"	"Sunday"	"1"	82	Not Applicable	Not Applicable
	"Alabama"	"01"	"2011"	"2011"	"Monday"	"2"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"2011"	"2011"	"Tuesday"	"3"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"2011"	"2011"	"Wednesday"	"4"	61	Not Applicable	Not Applicable
	"Alabama"	"01"	"2011"	"2011"	"Thursday"	"5"	90	Not Applicable	Not Applicable
	"Alabama"	"01"	"2011"	"2011"	"Friday"	"6"	91	Not Applicable	Not Applicable
	"Alabama"	"01"	"2011"	"2011"	"Saturday"	"7"	104	Not Applicable	Not Applicable
	"Alabama"	"01"	"2011"	"2011"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Sunday"	"1"	84	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Monday"	"2"	76	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Tuesday"	"3"	72	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Wednesday"	"4"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Thursday"	"5"	70	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Friday"	"6"	98	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Saturday"	"7"	84	Not Applicable	Not Applicable
	"Alabama"	"01"	"2012"	"2012"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2013"	"2013"	"Sunday"	"1"	103	Not Applicable	Not Applicable
	"Alabama"	"01"	"2013"	"2013"	"Monday"	"2"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"2013"	"2013"	"Tuesday"	"3"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"2013"	"2013"	"Wednesday"	"4"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"2013"	"2013"	"Thursday"	"5"	72	Not Applicable	Not Applicable
	"Alabama"	"01"	"2013"	"2013"	"Friday"	"6"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"2013"	"2013"	"Saturday"	"7"	94	Not Applicable	Not Applicable
	"Alabama"	"01"	"2013"	"2013"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2014"	"2014"	"Sunday"	"1"	101	Not Applicable	Not Applicable
	"Alabama"	"01"	"2014"	"2014"	"Monday"	"2"	83	Not Applicable	Not Applicable
	"Alabama"	"01"	"2014"	"2014"	"Tuesday"	"3"	85	Not Applicable	Not Applicable
	"Alabama"	"01"	"2014"	"2014"	"Wednesday"	"4"	103	Not Applicable	Not Applicable
